id,token,customer_id,created_at,updated_at
1,kYxpEDmL9b9GdbecHDHfoqNM,8,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
2,KEVor2WRBrV7HqCwb2Vt9wQM,5,2016-05-19 15:29:37 UTC,2016-05-19 15:29:37 UTC
3,rECephwPVbzFKhAxucrsKCpr,5,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
4,D9RTpnSzGkumafPU176W8HC4,6,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
5,jXJEshygSr9DCa81zBJCB8aq,29,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
6,cYB5MG8QeEKQzusajVQuoiE3,18,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
7,Lm8xATdp4iyuWEcrwcRpfriU,28,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
8,cHm79cBS8w7aeDVeRnU2xdDR,1,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
9,NY8pQ3aAwJx42FX3bAdCHNd1,6,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
10,WPDJBbwDJxoQnaiFcDWd6Bi3,1,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
11,aGVbyiQu54e6ptgWt1zPYKM8,12,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
12,deADRRstEG4meQBkFPvXkqjV,3,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
13,ncmpKnWGXRCSNJDU4gtBYQw9,8,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
14,MsMJ3r5YFNvrKykdG7dRhGAa,23,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
15,KgTCYPxtFpEkfGsjCtGouGKL,11,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
16,fVK53GDPCUw5pHLDXncLogU6,20,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
17,ZKMxLPH7RQMVvT31AkS1A7Zg,3,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
18,hR6aEg6GNXT14YzLzGWc3SG1,5,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
19,CUzUoMxYqf8u4Bcriu18ML2W,16,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
20,TSwuUD4LYmv8cC2GqgRemQzY,17,2016-05-19 15:29:38 UTC,2016-05-19 15:29:38 UTC
